Date,AMZN,MSFT,AAPL,NFLX,GOOG
2012-01-03,179.02999877929688,26.770000457763672,14.686785697937012,10.319999694824219,331.46258544921875
2012-01-04,177.50999450683594,27.399999618530273,14.765713691711426,11.492856979370117,332.8922424316406
2012-01-05,177.61000061035156,27.68000030517578,14.929642677307129,11.328571319580078,328.2745361328125
2012-01-06,182.61000061035156,28.110000610351562,15.085714340209961,12.327142715454102,323.79632568359375
2012-01-09,178.55999755859375,27.739999771118164,15.061785697937012,14.025713920593262,310.0677795410156
2012-01-10,179.33999633789062,27.84000015258789,15.115714073181152,13.6899995803833,310.4065246582031
2012-01-11,178.89999389648438,27.719999313354492,15.091071128845215,13.164285659790039,311.8112487792969
2012-01-12,175.92999267578125,28.0,15.049642562866211,13.164285659790039,313.6443786621094
2012-01-13,178.4199981689453,28.25,14.993213653564453,13.482856750488281,311.32806396484375
2012-01-17,181.66000366210938,28.260000228881836,15.16785717010498,13.531429290771484,313.1163635253906
2012-01-18,189.44000244140625,28.229999542236328,15.325357437133789,14.077142715454102,315.2732849121094
2012-01-19,194.4499969482422,28.1200008392334,15.276785850524902,14.779999732971191,318.5908508300781
2012-01-20,190.92999267578125,29.709999084472656,15.010713577270508,14.319999694824219,291.90087890625
2012-01-23,186.08999633789062,29.729999542236328,15.264642715454102,13.422857284545898,291.666748046875
2012-01-24,187.0,29.34000015258789,15.014642715454102,13.238571166992188,289.3803405761719
2012-01-25,187.8000030517578,29.559999465942383,15.952142715454102,13.577142715454102,283.68170166015625
2012-01-26,193.32000732421875,29.5,15.879643440246582,16.572856903076172,282.9892883300781
2012-01-27,195.3699951171875,29.229999542236328,15.974286079406738,17.68428611755371,288.9071044921875
2012-01-30,192.14999389648438,29.610000610351562,16.17892837524414,17.91857147216797,287.7663879394531
2012-01-31,194.44000244140625,29.530000686645508,16.3028564453125,17.171428680419922,288.97186279296875
2012-02-01,179.4600067138672,29.889999389648438,16.292499542236328,17.567142486572266,289.33050537109375
2012-02-02,181.72000122070312,29.950000762939453,16.25428581237793,17.71428680419922,291.4625244140625
2012-02-03,187.67999267578125,30.239999771118164,16.417142868041992,18.06142807006836,297.05157470703125
2012-02-06,183.13999938964844,30.200000762939453,16.570356369018555,18.46428680419922,303.4077453613281
2012-02-07,184.19000244140625,30.350000381469727,16.743928909301758,18.268571853637695,302.2520751953125
2012-02-08,185.47999572753906,30.65999984741211,17.0242862701416,17.71428680419922,303.7863464355469
2012-02-09,184.97999572753906,30.770000457763672,17.61321449279785,17.834285736083984,304.58831787109375
2012-02-10,185.5399932861328,30.5,17.622142791748047,17.704286575317383,301.8236999511719
2012-02-13,191.58999633789062,30.579999923706055,17.950000762939453,16.899999618530273,304.9569396972656
2012-02-14,191.3000030517578,30.25,18.19499969482422,17.58142852783203,303.74151611328125
2012-02-15,184.47000122070312,30.049999237060547,17.773929595947266,17.437143325805664,301.64935302734375
2012-02-16,179.92999267578125,31.290000915527344,17.936071395874023,17.415714263916016,302.1275634765625
2012-02-17,182.5,31.25,17.932857513427734,17.407142639160156,301.1910705566406
2012-02-21,182.25999450683594,31.440000534057617,18.387500762939453,16.77142906188965,305.85357666015625
2012-02-22,180.5800018310547,31.270000457763672,18.322856903076172,16.05714225769043,302.83489990234375
2012-02-23,178.88999938964844,31.3700008392334,18.4424991607666,16.141429901123047,301.9233093261719
2012-02-24,179.1300048828125,31.479999542236328,18.657499313354492,15.95285701751709,303.8112487792969
2012-02-27,178.52999877929688,31.350000381469727,18.777143478393555,15.630000114440918,303.517333984375
2012-02-28,183.8000030517578,31.8700008392334,19.12178611755371,16.18857192993164,308.0403747558594
2012-02-29,179.69000244140625,31.739999771118164,19.37285614013672,15.818571090698242,307.97064208984375
2012-03-01,180.0399932861328,32.290000915527344,19.445356369018555,16.10714340209961,310.03790283203125
2012-03-02,179.3000030517578,32.08000183105469,19.470714569091797,16.44285774230957,309.4650573730469
2012-03-05,180.25999450683594,31.799999237060547,19.04142951965332,15.829999923706055,305.9781188964844
2012-03-06,181.08999633789062,31.559999465942383,18.937856674194336,15.304286003112793,301.3504638671875
2012-03-07,183.77000427246094,31.84000015258789,18.953214645385742,15.027142524719238,302.26702880859375
2012-03-08,187.63999938964844,32.0099983215332,19.356786727905273,15.438570976257324,302.4364013671875
2012-03-09,184.32000732421875,31.989999771118164,19.47035789489746,15.59000015258789,299.0042724609375
2012-03-12,183.38999938964844,32.040000915527344,19.71428680419922,15.171428680419922,301.4450988769531
2012-03-13,184.58999633789062,32.66999816894531,20.28928565979004,15.192856788635254,307.7365417480469
2012-03-14,182.25999450683594,32.77000045776367,21.056428909301758,15.035714149475098,306.8448791503906
2012-03-15,184.42999267578125,32.849998474121094,20.912857055664062,15.738571166992188,309.4052734375
2012-03-16,185.0500030517578,32.599998474121094,20.9132137298584,15.708571434020996,311.35296630859375
2012-03-19,185.52000427246094,32.20000076293945,21.467857360839844,16.332857131958008,315.8062744140625
2012-03-20,192.3300018310547,31.989999771118164,21.641429901123047,16.431428909301758,315.56219482421875
2012-03-21,191.72999572753906,31.90999984741211,21.51785659790039,17.157142639160156,318.7950744628906
2012-03-22,192.39999389648438,32.0,21.405000686645508,16.961429595947266,321.8187561035156
2012-03-23,195.0399932861328,32.0099983215332,21.287500381469727,17.170000076293945,320.09521484375
2012-03-26,202.8699951171875,32.59000015258789,21.6778564453125,17.427143096923828,323.4526062011719
2012-03-27,205.44000244140625,32.52000045776367,21.945714950561523,17.238571166992188,322.30194091796875
2012-03-28,201.16000366210938,32.189998626708984,22.057857513427734,16.972856521606445,326.6556091308594
2012-03-29,204.61000061035156,32.119998931884766,21.78071403503418,16.435714721679688,322.99432373046875
2012-03-30,202.50999450683594,32.2599983215332,21.412500381469727,16.43428611755371,319.4227294921875
