Date,JNJ,AZN,PFE
2012-01-03,65.87999725341797,23.860000610351562,20.844402313232422
2012-01-04,65.4800033569336,23.735000610351562,20.65464973449707
2012-01-05,65.4000015258789,23.424999237060547,20.493358612060547
2012-01-06,64.83000183105469,23.485000610351562,20.464895248413086
2012-01-09,64.93000030517578,23.28499984741211,20.70208740234375
2012-01-10,65.19999694824219,23.3799991607666,20.81593894958496
2012-01-11,65.12999725341797,23.399999618530273,20.77798843383789
2012-01-12,65.2300033569336,23.635000228881836,20.863378524780273
2012-01-13,65.26000213623047,23.350000381469727,20.7210636138916
2012-01-17,65.12000274658203,23.760000228881836,20.81593894958496
2012-01-18,65.27999877929688,24.100000381469727,20.844402313232422
2012-01-19,65.19000244140625,23.760000228881836,20.7210636138916
2012-01-20,65.2699966430664,23.69499969482422,20.77798843383789
2012-01-23,65.0,23.860000610351562,20.59772300720215
2012-01-24,65.0,23.829999923706055,20.55028533935547
2012-01-25,65.22000122070312,23.8799991607666,20.607210159301758
2012-01-26,65.69999694824219,23.950000762939453,20.521821975708008
2012-01-27,65.55999755859375,23.829999923706055,20.379507064819336
2012-01-30,65.70999908447266,23.93000030517578,20.474382400512695
2012-01-31,65.91000366210938,24.075000762939453,20.303604125976562
2012-02-01,65.69000244140625,24.290000915527344,20.218215942382812
2012-02-02,65.58999633789062,23.604999542236328,20.02846336364746
2012-02-03,65.63999938964844,23.75,20.11385154724121
2012-02-06,65.19000244140625,23.704999923706055,19.876659393310547
2012-02-07,65.26000213623047,23.799999237060547,19.97153663635254
2012-02-08,65.23999786376953,23.905000686645508,19.93358612060547
2012-02-09,64.88999938964844,23.7450008392334,20.056926727294922
2012-02-10,64.5999984741211,23.579999923706055,19.97153663635254
2012-02-13,64.68000030517578,23.81999969482422,20.208728790283203
2012-02-14,64.61000061035156,23.795000076293945,20.237192153930664
2012-02-15,64.6500015258789,22.610000610351562,20.02846336364746
2012-02-16,64.91999816894531,22.545000076293945,20.237192153930664
2012-02-17,64.98999786376953,22.59000015258789,20.1043643951416
2012-02-21,65.04000091552734,22.434999465942383,20.132827758789062
2012-02-22,65.0,22.31999969482422,20.265655517578125
2012-02-23,65.0999984741211,22.625,19.95256233215332
2012-02-24,64.45999908447266,22.719999313354492,20.094877243041992
2012-02-27,64.44999694824219,22.559999465942383,20.170778274536133
2012-02-28,65.18000030517578,22.540000915527344,20.132827758789062
2012-02-29,65.08000183105469,22.44499969482422,20.04743766784668
2012-03-01,64.83000183105469,22.6200008392334,20.388994216918945
2012-03-02,64.7699966430664,22.44499969482422,20.313093185424805
2012-03-05,64.91000366210938,22.670000076293945,20.398481369018555
2012-03-06,64.3499984741211,22.09000015258789,20.180265426635742
2012-03-07,64.30000305175781,22.315000534057617,20.275142669677734
2012-03-08,64.8499984741211,22.415000915527344,20.360530853271484
2012-03-09,64.73999786376953,22.475000381469727,20.379507064819336
2012-03-12,65.0999984741211,22.614999771118164,20.436433792114258
2012-03-13,65.33000183105469,22.774999618530273,20.882352828979492
2012-03-14,65.08000183105469,22.469999313354492,20.80645179748535
2012-03-15,65.06999969482422,22.3700008392334,20.7874755859375
2012-03-16,65.12000274658203,22.55500030517578,20.81593894958496
2012-03-19,65.20999908447266,22.690000534057617,20.75901222229004
2012-03-20,64.95999908447266,22.84000015258789,20.6831111907959
2012-03-21,64.76000213623047,22.709999084472656,20.65464973449707
2012-03-22,64.45999908447266,22.649999618530273,20.616697311401367
2012-03-23,64.55000305175781,22.59000015258789,20.70208740234375
2012-03-26,65.16999816894531,22.825000762939453,21.024667739868164
2012-03-27,65.4000015258789,22.635000228881836,21.347248077392578
2012-03-28,65.62000274658203,22.334999084472656,21.261859893798828
2012-03-29,65.54000091552734,22.25,21.271347045898438
2012-03-30,65.95999908447266,22.2450008392334,21.489564895629883
2012-04-02,66.20999908447266,22.639999389648438,21.43263816833496
2012-04-03,65.87999725341797,22.53499984741211,21.38519859313965
2012-04-04,65.38999938964844,22.184999465942383,21.242883682250977
2012-04-05,65.33999633789062,22.100000381469727,21.195446014404297
2012-04-09,64.91999816894531,22.024999618530273,20.920303344726562
2012-04-10,64.19999694824219,21.975000381469727,20.863378524780273
2012-04-11,64.12999725341797,22.209999084472656,20.82542610168457
2012-04-12,64.1500015258789,22.514999389648438,20.796964645385742
2012-04-13,63.540000915527344,22.110000610351562,20.73055076599121
2012-04-16,63.97999954223633,22.360000610351562,20.85388946533203
2012-04-17,64.22000122070312,22.635000228881836,21.166982650756836
2012-04-18,63.2599983215332,22.690000534057617,21.2998104095459
2012-04-19,63.029998779296875,22.69499969482422,21.195446014404297
2012-04-20,63.709999084472656,23.110000610351562,21.4041748046875
2012-04-23,63.369998931884766,22.770000457763672,21.233396530151367
2012-04-24,63.77000045776367,22.90999984741211,21.47058868408203
2012-04-25,64.43000030517578,22.954999923706055,21.707780838012695
2012-04-26,64.75,21.68000030517578,21.878557205200195
2012-04-27,64.83999633789062,21.774999618530273,21.897533416748047
2012-04-30,65.0999984741211,21.950000762939453,21.726755142211914
2012-05-01,65.22000122070312,22.145000457763672,21.612903594970703
2012-05-02,65.33000183105469,22.045000076293945,21.49905014038086
2012-05-03,65.33999633789062,22.200000762939453,21.44212532043457
2012-05-04,64.73999786376953,21.950000762939453,21.233396530151367
2012-05-07,64.80000305175781,21.979999542236328,21.2998104095459
2012-05-08,64.9800033569336,21.9950008392334,21.271347045898438
2012-05-09,64.27999877929688,21.719999313354492,21.2998104095459
2012-05-10,64.56999969482422,21.670000076293945,21.660341262817383
